keyword   	:	function  
identifier	:	convert1x 
separator 	:	(         
identifier	:	fahr      
keyword   	:	int       
separator 	:	)         
separator 	:	{         
keyword   	:	return    
int       	:	5         
operator  	:	*         
separator 	:	(         
identifier	:	fahr      
operator  	:	-         
int       	:	32        
separator 	:	)         
operator  	:	/         
int       	:	9         
separator 	:	;         
separator 	:	}         
separator 	:	$         
separator 	:	$         
keyword   	:	int       
identifier	:	low       
separator 	:	,         
identifier	:	high      
separator 	:	,         
identifier	:	step      
separator 	:	;         
identifier	:	get       
separator 	:	(         
identifier	:	low       
separator 	:	,         
identifier	:	high      
separator 	:	,         
identifier	:	step      
separator 	:	)         
separator 	:	;         
keyword   	:	while     
separator 	:	(         
identifier	:	low       
operator  	:	<=        
identifier	:	high      
separator 	:	)         
separator 	:	{         
keyword   	:	put       
separator 	:	(         
identifier	:	low       
separator 	:	)         
separator 	:	;         
keyword   	:	put       
separator 	:	(         
identifier	:	convert1x 
separator 	:	(         
identifier	:	low       
separator 	:	)         
separator 	:	)         
separator 	:	;         
identifier	:	low       
operator  	:	=         
identifier	:	low       
operator  	:	+         
identifier	:	step      
separator 	:	;         
separator 	:	}         
separator 	:	$         
separator 	:	$         
