keyword   	:	float     
identifier	:	convertFtoC
separator 	:	(         
keyword   	:	float     
identifier	:	f         
separator 	:	)         
separator 	:	{         
keyword   	:	float     
identifier	:	c         
operator  	:	=         
separator 	:	(         
real      	:	5.0       
operator  	:	/         
real      	:	9.0       
separator 	:	)         
operator  	:	*         
separator 	:	(         
identifier	:	f         
operator  	:	-         
int       	:	32        
separator 	:	)         
separator 	:	;         
keyword   	:	return    
identifier	:	c         
separator 	:	;         
separator 	:	}         
keyword   	:	float     
identifier	:	convertCtoF
separator 	:	(         
keyword   	:	float     
identifier	:	C         
separator 	:	)         
separator 	:	{         
keyword   	:	float     
identifier	:	F         
operator  	:	=         
separator 	:	(         
real      	:	9.0       
operator  	:	/         
real      	:	5.0       
separator 	:	)         
operator  	:	*         
separator 	:	(         
identifier	:	C         
operator  	:	+         
int       	:	32        
separator 	:	)         
separator 	:	;         
keyword   	:	return    
identifier	:	F         
separator 	:	;         
separator 	:	}         
keyword   	:	float     
identifier	:	convertCtoK
separator 	:	(         
keyword   	:	float     
identifier	:	c         
separator 	:	)         
separator 	:	{         
keyword   	:	return    
identifier	:	c         
operator  	:	-         
int       	:	273       
separator 	:	;         
separator 	:	}         
keyword   	:	float     
identifier	:	convertFtoK
separator 	:	(         
keyword   	:	float     
identifier	:	f         
separator 	:	)         
separator 	:	{         
keyword   	:	return    
identifier	:	convertCtoK
separator 	:	(         
identifier	:	convertFtoC
separator 	:	(         
identifier	:	f         
separator 	:	)         
separator 	:	)         
separator 	:	;         
separator 	:	}         
keyword   	:	float     
identifier	:	convertKtoC
separator 	:	(         
keyword   	:	float     
identifier	:	k         
separator 	:	)         
separator 	:	{         
keyword   	:	return    
identifier	:	k         
operator  	:	+         
int       	:	273       
separator 	:	;         
separator 	:	}         
separator 	:	$         
separator 	:	$         
keyword   	:	int       
identifier	:	low       
separator 	:	,         
identifier	:	high      
separator 	:	,         
identifier	:	step      
separator 	:	;         
identifier	:	get       
separator 	:	(         
identifier	:	low       
separator 	:	,         
identifier	:	high      
separator 	:	,         
identifier	:	step      
separator 	:	)         
separator 	:	;         
keyword   	:	while     
separator 	:	(         
identifier	:	low       
operator  	:	<=        
identifier	:	high      
separator 	:	)         
separator 	:	{         
keyword   	:	put       
separator 	:	(         
identifier	:	low       
separator 	:	)         
separator 	:	;         
keyword   	:	put       
separator 	:	(         
identifier	:	convertFtoC
separator 	:	(         
identifier	:	low       
separator 	:	)         
separator 	:	)         
separator 	:	;         
keyword   	:	put       
separator 	:	(         
identifier	:	convertFtoK
separator 	:	(         
identifier	:	low       
separator 	:	)         
separator 	:	)         
identifier	:	low       
operator  	:	=         
identifier	:	low       
operator  	:	+         
identifier	:	step      
separator 	:	;         
separator 	:	}         
separator 	:	$         
separator 	:	$         
